"";"AIC";"BIC";"time";"rho";"knn";"obsSample";"minInterval";"moran"
"1532";269,871058822212;306,152549854241;0,320142984390259;0,0576445042725363;48;200;3001;0,130058773255142
"1533";274,877942953084;311,159433985112;0,343695878982544;0,0474033555924426;49;200;3001;0,123137730648705
"1534";277,257083669317;313,538574701345;0,340090990066528;-0,0411454444045068;50;200;3001;0,120093263612381
"1535";278,575794635459;314,857285667488;0,341098070144653;-0,117414396519752;51;200;3001;0,117132177944011
"1536";279,336626020229;315,618117052257;0,320980072021484;-0,117917694594104;52;200;3001;0,111133418801248
"1537";279,197723876419;315,479214908447;0,325131893157959;-0,240998866861198;53;200;3001;0,107537119460886
"1538";279,637405235811;315,91889626784;0,364938020706177;-0,218098672670928;54;200;3001;0,10427390056461
"1539";279,800029751932;316,08152078396;0,341387987136841;-0,188766653674161;55;200;3001;0,10064726675517
"1540";279,588457119499;315,869948151528;0,335613012313843;-0,395650755916766;56;200;3001;0,09692490216565
"1541";278,258662846525;314,540153878553;0,313199043273926;-0,704683870109923;57;200;3001;0,0908918883929222
"1542";277,020509787405;313,302000819433;0,318750143051147;-0,87811579634184;58;200;3001;0,0867630918202528
"1543";275,645396092747;311,926887124775;0,48253607749939;-0,999999962994174;59;200;3001;0,081690236572172
"1544";273,387417817959;309,668908849988;0,496268033981323;-0,999999962994174;60;200;3001;0,0772490881429073
"1545";270,468753592141;306,75024462417;0,486690044403076;-0,999999962994174;61;200;3001;0,0758649148166816
"1546";270,41684776184;306,698338793869;0,499541044235229;-0,999999962994174;62;200;3001;0,0736204031158724
"1547";270,107146294605;306,388637326633;0,506321907043457;-0,999999962994174;63;200;3001;0,0707381526036891
"1548";268,955004077373;305,236495109401;0,524074077606201;-0,999999962994174;64;200;3001;0,067378842097643
"1549";267,262947113246;303,544438145274;0,555385112762451;-0,999999962994174;65;200;3001;0,0661080354057118
"1550";264,696390489313;300,977881521341;0,577245950698853;-0,999999962994174;66;200;3001;0,0630093240931026
"1551";261,577019925749;297,858510957777;0,594449043273926;-0,999999962994174;67;200;3001;0,0594815884646365
"1552";255,92382215369;292,205313185718;0,571147918701172;-0,999999962994174;68;200;3001;0,05970647466861
"1553";251,838819507963;288,120310539991;0,577959060668945;-0,999999962994174;69;200;3001;0,056481753202858
"1554";248,288980154774;284,570471186803;0,580505132675171;-0,999999962994174;70;200;3001;0,0551576042462805
"1555";247,744292803206;284,025783835234;0,58044695854187;-0,999999962994174;71;200;3001;0,0530360080245833
"1556";246,477855826602;282,75934685863;0,591509103775024;-0,999999962994174;72;200;3001;0,0558264024724393
"1557";240,419875703767;276,701366735795;0,580666780471802;-0,999999962994174;73;200;3001;0,0535825302842584
"1558";241,115513641791;277,397004673819;0,604185104370117;-0,999999962994174;74;200;3001;0,0516464104339576
"1559";237,886998722042;274,16848975407;0,585265874862671;-0,999999962994174;75;200;3001;0,0501462190607798
"1560";238,337165824542;274,61865685657;0,587699174880981;-0,999999962994174;76;200;3001;0,0491304245255885
"1561";232,776756076441;269,058247108469;0,588302850723267;-0,999999962994174;77;200;3001;0,0489559136975093
"1562";234,838191893658;271,119682925686;0,587776184082031;-0,999999962994174;78;200;3001;0,0487524013617435
"1563";234,147575268721;270,429066300749;0,582937955856323;-0,999999962994174;79;200;3001;0,0484803186451511
"1564";235,522208360864;271,803699392892;0,585434913635254;-0,999999962994174;80;200;3001;0,0473134040294492
"1565";236,71260869114;272,994099723168;0,58827018737793;-0,999999962994174;81;200;3001;0,0469525678045192
"1566";234,006566671202;270,288057703231;0,589753866195679;-0,999999962994174;82;200;3001;0,0448907817802345
"1567";236,900035987626;273,181527019654;0,597793102264404;-0,999999962994174;83;200;3001;0,0429863236616895
"1568";239,197579373066;275,479070405094;0,59850811958313;-0,999999962994174;84;200;3001;0,0413753526657636
"1569";234,64123288398;270,922723916008;0,630731821060181;-0,999999962994174;85;200;3001;0,0389388883497418
"1570";242,075767005678;278,357258037706;0,601109981536865;-0,999999962994174;86;200;3001;0,037321859443486
"1571";240,682830246097;276,964321278126;0,604744911193848;-0,999999962994174;87;200;3001;0,0344892732873306
"1572";232,481530169115;268,763021201144;0,603929996490479;-0,999999962994174;88;200;3001;0,0336698880924415
"1573";238,894011487037;275,175502519065;0,609100103378296;-0,999999962994174;89;200;3001;0,0330378193255891
"1574";237,924981871436;274,206472903465;0,60874605178833;-0,999999962994174;90;200;3001;0,0328388267573138
"1575";236,408670023142;272,69016105517;0,608370065689087;-0,999999962994174;91;200;3001;0,0321455417690231
"1576";241,028384573005;277,309875605034;0,600605010986328;-0,999999962994174;92;200;3001;0,0321173103570748
"1577";241,463799209605;277,745290241634;0,780173063278198;-0,999999962994174;93;200;3001;0,0315317852582163
"1578";238,977183218764;275,258674250792;0,602713823318481;-0,999999962994174;94;200;3001;0,0295857315164662
"1579";246,666368165653;282,947859197681;0,600940227508545;-0,999999962994174;95;200;3001;0,0290955377689924
"1580";245,363509213343;281,645000245371;0,611932039260864;-0,999999962994174;96;200;3001;0,0290248303803581
"1581";247,616643170755;283,898134202783;0,608614921569824;-0,999999962994174;97;200;3001;0,0269982754480982
"1582";245,323794772044;281,605285804073;0,614914894104004;-0,999999962994174;98;200;3001;0,0261676359542894
"1583";243,127764527128;279,409255559156;0,604729890823364;-0,999999962994174;99;200;3001;0,0257534892736347
"1584";242,643184491439;278,924675523468;0,613990068435669;-0,999999962994174;100;200;3001;0,0243311651469087
"1585";18,0574615292555;54,3389525612839;0,263800859451294;0,793552745710942;2;200;3201;0,467148707248458
"1586";-16,6025262363206;19,6789647957078;0,272235155105591;0,841030049702428;3;200;3201;0,400775580353945
"1587";2,78356081137133;39,0650518433997;0,255290031433105;0,850669137769138;4;200;3201;0,345988385701607
"1588";15,3105798225462;51,5920708545746;0,257827997207642;0,843565712605269;5;200;3201;0,295614513440683
"1589";8,21096027335557;44,492451305384;0,264529228210449;0,854748869184216;6;200;3201;0,28421381371546
"1590";-14,2893399014571;21,9921511305713;0,265734910964966;0,870999620931095;7;200;3201;0,277037859464332
"1591";0,593011896651745;36,8745029286801;0,266094923019409;0,874204861276252;8;200;3201;0,251337394935376
"1592";-1,22710248022742;35,054388551801;0,264360904693604;0,89125734870726;9;200;3201;0,2496282524282
"1593";-12,7825318390929;23,4989591929355;0,282429933547974;0,90631436453543;10;200;3201;0,239688413700345
"1594";-3,02413676672978;33,2573542652986;0,29121208190918;0,906342968794417;11;200;3201;0,226299163743325
"1595";20,0228364052196;56,3043274372479;0,270336151123047;0,895894191026079;12;200;3201;0,217767320050347
"1596";12,9573993755633;49,2388904075917;0,270236968994141;0,893160743970138;13;200;3201;0,211877084140877
"1597";17,0555887664356;53,337079798464;0,274320125579834;0,882560585542128;14;200;3201;0,220538823934998
"1598";27,5085159046552;63,7900069366836;0,276304960250854;0,879889066760303;15;200;3201;0,217852634810944
"1599";42,9881639152263;79,2696549472547;0,282287120819092;0,878650174659516;16;200;3201;0,219559141228371
"1600";62,967735544416;99,2492265764444;0,271275997161865;0,877782341683983;17;200;3201;0,213628942205152
"1601";66,0839834650996;102,365474497128;0,275618076324463;0,87176984955123;18;200;3201;0,209629907500136
"1602";71,8877886110342;108,169279643063;0,278420925140381;0,868027289967419;19;200;3201;0,208044674171944
"1603";87,7264494793202;124,007940511349;0,284345865249634;0,881457630118972;20;200;3201;0,203226775862566
"1604";92,3111285078931;128,592619539921;0,285894155502319;0,884360070080245;21;200;3201;0,198325732247185
"1605";89,0044780560753;125,285969088104;0,286064147949219;0,909165350814294;22;200;3201;0,193646561647713
"1606";94,6931295634803;130,974620595509;0,304482221603394;0,91269627077541;23;200;3201;0,186012941510376
"1607";99,1767823503526;135,458273382381;0,298203945159912;0,915923416982557;24;200;3201;0,182315510087785
"1608";111,608909693402;147,89040072543;0,301162004470825;0,917078856463364;25;200;3201;0,174100753446858
"1609";122,863773677752;159,14526470978;0,320142984390259;0,916771212535568;26;200;3201;0,166084443253954
"1610";133,729496783288;170,010987815316;0,302858829498291;0,923793333303366;27;200;3201;0,161225224584288
"1611";140,813011571726;177,094502603755;0,304938077926636;0,931117279951656;28;200;3201;0,154755082506977
"1612";152,800195142182;189,081686174211;0,30478310585022;0,930797858230908;29;200;3201;0,149872438985341
"1613";164,107558142029;200,389049174057;0,312436103820801;0,921255837366;30;200;3201;0,146621720641008
"1614";170,521659310933;206,803150342961;0,32112193107605;0,913831320642943;31;200;3201;0,141621575965414
"1615";175,843448248512;212,124939280541;0,309183835983276;0,901391351882756;32;200;3201;0,137645590461155
"1616";184,293151871477;220,574642903506;0,307178020477295;0,896688410941404;33;200;3201;0,12949216403313
"1617";189,100035394344;225,381526426372;0,318660974502563;0,882650285075595;34;200;3201;0,127154997846065
"1618";201,253069615905;237,534560647933;0,318845987319946;0,859071897117314;35;200;3201;0,123957664712561
"1619";207,314524230245;243,596015262273;0,323193073272705;0,831097410659411;36;200;3201;0,120341032335945
"1620";208,492516058996;244,774007091025;0,316154003143311;0,814560698202883;37;200;3201;0,115357199483739
"1621";215,083530894863;251,365021926892;0,322848796844482;0,766907078930289;38;200;3201;0,114314966860372
"1622";222,875988233819;259,157479265847;0,311214923858643;0,69421927232691;39;200;3201;0,113733926587313
"1623";227,606798547206;263,888289579234;0,315237998962402;0,699779552361168;40;200;3201;0,108034712612158
"1624";231,311337274733;267,592828306761;0,347733020782471;0,623178957706794;41;200;3201;0,106952261934789
"1625";237,2867131296;273,568204161628;0,317198991775513;0,590655639396673;42;200;3201;0,103216276908121
"1626";242,614662841057;278,896153873086;0,33448600769043;0,574269682330615;43;200;3201;0,0993897206427054
"1627";251,060392344286;287,341883376315;0,337738990783691;0,493798937781315;44;200;3201;0,0969540227643334
"1628";256,362229922231;292,643720954259;0,318192958831787;0,420145872701697;45;200;3201;0,0961006456845196
"1629";260,589552085832;296,87104311786;0,351567983627319;0,259948044209814;46;200;3201;0,0931865088123746
"1630";263,2466967212;299,528187753229;0,308017015457153;0,0712447154408134;47;200;3201;0,0905271354265281
"1631";265,639233163828;301,920724195856;0,324134826660156;-0,113421197805199;48;200;3201;0,0883292287796445
"1632";267,078926328754;303,360417360783;0,322123050689697;-0,296512277558689;49;200;3201;0,0848205397308618
"1633";268,582098468959;304,863589500988;0,322150945663452;-0,470636209134652;50;200;3201;0,0811416904065935
"1634";266,595160518682;302,876651550711;0,401344060897827;-0,73533279624818;51;200;3201;0,0783348805837505
"1635";262,807727517699;299,089218549727;0,435296058654785;-0,997917256192527;52;200;3201;0,0738889398444321
"1636";264,273786616744;300,555277648772;0,506677150726318;-0,999999962994174;53;200;3201;0,070961190240497
"1637";257,709796616894;293,991287648922;0,497728109359741;-0,999999962994174;54;200;3201;0,0682507337937128
"1638";260,488269783153;296,769760815181;0,495630025863647;-0,999999962994174;55;200;3201;0,0635568298581522
